person;birth;death;occupation
Абакумов, Егор Трофимович;1895;1953;Деятели науки, техники и образования
Абасов, Курбан Абас Кули оглы;1926;1989;Деятели науки, техники и образования
Абденанова, Алиме;1924;1944;Военные и работники силовых структур
Абдуллаев, Лютфали Амир оглы;1914;1973;Деятели искусства и культуры
Абдуллин, Раушан Мухамедович;1988;2008;Военные и работники силовых структур
Абдулов, Осип Наумович;1913;1953;Деятели искусства и культуры
Абдурахманов, Гулям;1910;1987;Деятели искусства и культуры
Абдурахманов, Канти;1916;2000;Военные и работники силовых структур
Абдурахманов, Фуад Гасан оглы;1915;1971;Деятели искусства и культуры
Абелев, Юда Мордухович;1897;1971;Деятели науки, техники и образования
Аборенков, Василий Васильевич;1901;1954;Военные и работники силовых структур
Абрамашвили, Николай Георгиевич;1918;1942;Военные и работники силовых структур
Абрамов, Алексей Сергеевич;; ;Деятели науки, техники и образования
Абрамова, Анна Абрамовна;1902;;Деятели искусства и культуры
Абрамович, Юрий Гарриевич;1935;2017;Военные и работники силовых структур
Абрикосов, Алексей Иванович (патологоанатом);1875;1955;Деятели науки, техники и образования
Абрикосов, Андрей Львович;1906;1973;Деятели искусства и культуры
Абросимов, Павел Васильевич;1900;1961;Деятели искусства и культуры
Аброськин, Николай Павлович;1951;2016;Политики и общественные деятели
Абугов, Пинхас Михайлович;1909;1938;Деятели науки, техники и образования
Абутков, Николай Владимирович;1893;1920;Военные и работники силовых структур
Авакян, Ованес Степанович;;;Деятели искусства и культуры
Авдеев, Виктор Фёдорович;1909;;Деятели искусства и культуры
Авдеев, Сергей Васильевич;1956;;Военные и работники силовых структур
Авдиев, Всеволод Игоревич;1898;1978;Деятели науки, техники и образования
Аверкиев, Александр Александрович;1980;2000;Военные и работники силовых структур
Авершин, Степан Гаврилович;1901;1972;Деятели науки, техники и образования
Аверьянов, Вячеслав Юрьевич;1959;;Военные и работники силовых структур
Аветисян, Авет Маркосович;1897;1971;Деятели искусства и культуры
Автономов, Анатолий Иванович;1924;;Деятели науки, техники и образования
Агапеев, Владимир Петрович;1916;1956;Военные и работники силовых структур
Агапов, Борис Николаевич (писатель);1899;1973;Деятели искусства и культуры
Агарков, Егор Прокопьевич;1912;1994;Деятели науки, техники и образования
Агафонов, Вениамин Максимович;1930;2015;Деятели науки, техники и образования
Агафонов, Пётр Александрович;1917;;Деятели науки, техники и образования
Агаханян, Татевос Мамиконович;1924;2011;Деятели науки, техники и образования
Агаян, Тамара Львовна;;;Деятели науки, техники и образования
Агаян, Цатур Павлович; ; ;Деятели науки, техники и образования
Агбунов, Михаил Васильевич;1952;2009;Деятели науки, техники и образования
Агеев, Дмитрий Васильевич;1911;1997;Деятели науки, техники и образования
Агеев, Евгений Иванович;1906;1976;Деятели искусства и культуры
Агеев, Михаил Дмитриевич;1931;2005;Деятели науки, техники и образования
Агеев, Николай Владимирович;1936;1956;Деятели науки, техники и образования
Агеенко, Флоренция Леонидовна;1928;;Деятели науки, техники и образования
Агекян, Татеос Артемьевич;1913;;Деятели науки, техники и образования
Агеносов, Владимир Вениаминович;1942;;Деятели науки, техники и образования
Агентов, Михаил Иванович;1740;1769;Деятели науки, техники и образования
Агер, Николай;1568;1634;Деятели науки, техники и образования
Агладзе, Константин Игоревич;1978;2010;Деятели науки, техники и образования
Агладзе, Рафаил Ильич;1911;1983;Деятели науки, техники и образования
Аглямова, Галина Александровна;1961;2005;Деятели науки, техники и образования
Агнес Джоаким;1854;1899;Деятели науки, техники и образования
Агол, Вадим Израилевич;1929;1991;Деятели науки, техники и образования
Агости, Джузеппе;1715;1786;Деятели науки, техники и образования
Агошков, Михаил Иванович;1905;1993;Деятели науки, техники и образования
